symbol,scan_date,next_date,regime,eod_score,est_5m_score,vol_surge,price_move_pct,gap_up_pct,raw_r,realized_r,hit_stop,atr,o_nd,h_nd,l_nd,c_nd,variant_id,sector
TATASTEEL,2026-08-25,2026-08-26,NEUTRAL,100.0,85.0,1.411,0.815,-0.241,1.27,0.823,1,3.64,186.49,189.95,184.29,188.01,V3_STRICT_5M_SCORE,METAL
HCLTECH,2026-08-27,2026-08-28,BEAR,80.0,85.0,2.317,2.023,0.624,1.99,1.291,0,29.67,1290.0,1334.2,1290.0,1316.1,V3_STRICT_5M_SCORE,IT
HDFCBANK,2026-08-31,2026-09-01,BEAR,80.0,80.0,1.689,0.972,-0.557,1.13,0.733,1,12.29,705.05,715.45,698.5,711.9,V3_STRICT_5M_SCORE,BANK
ADANIPORTS,2026-08-31,2026-09-01,BEAR,80.0,80.0,1.537,1.385,2.002,1.12,0.73,0,36.34,1625.0,1655.6,1625.0,1647.5,V3_STRICT_5M_SCORE,INFRA
ITC,2026-08-31,2026-09-01,BEAR,80.0,85.0,2.198,1.95,2.348,1.91,1.241,0,4.68,261.5,268.2,261.5,266.6,V3_STRICT_5M_SCORE,FMCG
GODREJPROP,2026-09-02,2026-09-03,BEAR,80.0,85.0,2.551,1.909,-0.34,2.16,1.402,0,57.3,1964.0,2056.7,1960.0,2001.5,V3_STRICT_5M_SCORE,REALTY
DRREDDY,2025-10-01,2025-10-03,BEAR,80.0,80.0,1.385,0.338,-0.064,1.15,0.745,0,24.84,1236.06,1257.43,1232.19,1240.23,V4_PERMISSIVE_5M_SCORE,PHARMA
DIVISLAB,2025-10-01,2025-10-03,BEAR,80.0,80.0,1.497,1.849,0.867,1.92,1.251,0,119.54,5759.5,5932.0,5746.0,5866.0,V4_PERMISSIVE_5M_SCORE,PHARMA
LODHA,2025-10-06,2025-10-07,BULL,80.0,85.0,5.86,2.415,0.26,1.59,1.033,1,28.68,1118.0,1152.2,1098.8,1145.0,V4_PERMISSIVE_5M_SCORE,REALTY
ICICIGI,2025-10-14,2025-10-15,NEUTRAL,80.0,85.0,12.316,6.607,2.173,5.12,3.0,0,37.46,1881.82,2025.7,1881.82,2006.14,V4_PERMISSIVE_5M_SCORE,FINSERV
NESTLEIND,2025-10-14,2025-10-15,NEUTRAL,80.0,85.0,2.251,3.905,0.0,3.27,2.126,0,19.97,1163.59,1212.59,1163.59,1209.03,V4_PERMISSIVE_5M_SCORE,FMCG
COALINDIA,2025-10-29,2025-10-30,BULL,80.0,85.0,2.269,1.24,0.249,1.33,0.866,1,5.77,367.98,373.75,364.48,372.55,V4_PERMISSIVE_5M_SCORE,ENERGY
DLF,2025-10-31,2025-11-03,NEUTRAL,80.0,80.0,1.785,2.94,-0.165,2.73,1.776,0,14.22,745.64,774.77,743.02,767.56,V4_PERMISSIVE_5M_SCORE,REALTY
DABUR,2025-10-31,2025-11-03,NEUTRAL,80.0,80.0,1.703,3.114,0.113,2.22,1.446,0,9.62,479.32,495.37,476.86,494.25,V4_PERMISSIVE_5M_SCORE,FMCG
ADANIENT,2025-11-06,2025-11-07,BEAR,80.0,85.0,2.153,2.35,0.03,1.9,1.233,0,61.49,2313.97,2401.43,2290.38,2368.34,V4_PERMISSIVE_5M_SCORE,ENERGY
HINDALCO,2025-11-06,2025-11-07,BEAR,80.0,80.0,1.36,0.241,0.013,0.97,0.283,0,19.35,784.41,798.43,778.94,786.3,V4_PERMISSIVE_5M_SCORE,METAL
TRENT,2025-11-10,2025-11-11,BEAR,80.0,80.0,1.672,0.484,0.264,0.85,0.224,0,109.95,4288.66,4358.56,4256.81,4309.43,V4_PERMISSIVE_5M_SCORE,CONS
KOTAKBANK,2025-11-14,2025-11-17,BULL,80.0,85.0,2.314,0.377,0.736,1.0,0.651,0,6.62,418.28,423.25,417.76,419.86,V4_PERMISSIVE_5M_SCORE,BANK
EICHERMOT,2025-11-14,2025-11-17,BULL,80.0,80.0,1.517,1.025,0.523,0.77,0.187,0,135.97,6730.0,6809.0,6675.0,6799.0,V4_PERMISSIVE_5M_SCORE,AUTO
MPHASIS,2025-11-20,2025-11-21,BULL,80.0,85.0,2.038,0.446,-0.201,0.77,0.184,0,71.54,2663.49,2704.69,2642.65,2675.37,V4_PERMISSIVE_5M_SCORE,IT
BAJFINANCE,2025-11-26,2025-11-27,BULL,80.0,80.0,1.827,1.792,0.485,1.7,1.106,0,22.83,1009.4,1038.52,1004.72,1027.48,V4_PERMISSIVE_5M_SCORE,FINSERV
ITC,2025-11-28,2025-12-01,BULL,80.0,80.0,1.636,0.36,-0.359,0.78,-1.0,1,4.42,384.07,386.64,379.68,385.45,V4_PERMISSIVE_5M_SCORE,FMCG
SBIN,2025-12-04,2025-12-05,NEUTRAL,80.0,80.0,1.602,2.387,0.079,2.26,1.47,0,14.16,932.05,956.07,929.94,954.3,V4_PERMISSIVE_5M_SCORE,BANK
ADANIENT,2025-12-04,2025-12-05,NEUTRAL,80.0,80.0,1.547,2.142,-0.0,1.13,0.732,0,59.97,2216.91,2267.59,2201.92,2264.39,V4_PERMISSIVE_5M_SCORE,ENERGY
DLF,2025-12-08,2025-12-09,BEAR,80.0,80.0,1.411,0.811,-0.429,1.32,0.858,0,14.47,676.01,690.33,671.07,681.49,V4_PERMISSIVE_5M_SCORE,REALTY
GODREJPROP,2025-12-08,2025-12-09,BEAR,80.0,85.0,2.969,3.706,-0.258,1.95,1.271,0,55.25,1960.52,2041.53,1942.61,2033.17,V4_PERMISSIVE_5M_SCORE,REALTY
TRENT,2025-12-08,2025-12-09,BEAR,80.0,85.0,2.414,0.884,-1.0,1.11,0.725,1,81.81,4043.62,4112.02,3982.12,4079.37,V4_PERMISSIVE_5M_SCORE,CONS
BEL,2025-12-08,2025-12-09,BEAR,80.0,80.0,1.664,1.143,-0.349,0.87,0.237,0,9.04,383.42,389.34,378.94,387.8,V4_PERMISSIVE_5M_SCORE,INFRA
TATASTEEL,2025-12-10,2025-12-11,BEAR,100.0,85.0,1.767,1.761,0.783,1.29,0.842,0,3.19,160.2,163.29,159.87,163.02,V4_PERMISSIVE_5M_SCORE,METAL
PERSISTENT,2025-12-10,2025-12-11,BEAR,80.0,80.0,1.572,2.69,0.133,1.7,1.107,0,146.69,6019.91,6207.23,5997.49,6181.83,V4_PERMISSIVE_5M_SCORE,IT
DIXON,2025-12-10,2025-12-11,BEAR,80.0,85.0,4.224,5.175,-0.016,2.02,1.312,0,449.71,12349.0,13030.0,12130.0,12988.0,V4_PERMISSIVE_5M_SCORE,TECH
KAYNES,2025-12-10,2025-12-11,BEAR,80.0,80.0,1.833,3.258,0.604,0.87,0.234,0,330.36,3914.0,4129.0,3830.0,4041.5,V4_PERMISSIVE_5M_SCORE,TECH
AXISBANK,2025-12-16,2025-12-17,NEUTRAL,80.0,80.0,1.386,0.336,0.082,0.95,0.274,0,21.66,1219.66,1235.05,1219.36,1223.76,V4_PERMISSIVE_5M_SCORE,BANK
EICHERMOT,2025-12-16,2025-12-17,NEUTRAL,80.0,80.0,1.395,0.429,0.602,0.75,0.175,0,129.03,7104.0,7176.5,7080.5,7134.5,V4_PERMISSIVE_5M_SCORE,AUTO
POWERGRID,2025-12-18,2025-12-19,NEUTRAL,80.0,80.0,1.961,2.093,0.039,1.89,1.229,0,4.11,255.19,261.02,255.09,260.53,V4_PERMISSIVE_5M_SCORE,ENERGY
DIVISLAB,2025-12-18,2025-12-19,NEUTRAL,80.0,85.0,3.701,1.069,0.47,2.06,1.342,0,121.46,6410.0,6598.0,6408.5,6478.5,V4_PERMISSIVE_5M_SCORE,PHARMA
ABB,2025-12-18,2025-12-19,NEUTRAL,80.0,85.0,2.238,1.391,0.167,1.21,0.789,0,93.53,5085.2,5170.35,5079.23,5155.91,V4_PERMISSIVE_5M_SCORE,MFNG
CHOLAFIN,2025-12-22,2025-12-23,BULL,80.0,85.0,4.14,4.579,1.268,3.07,1.998,0,46.96,1603.17,1711.45,1593.98,1676.59,V4_PERMISSIVE_5M_SCORE,FINSERV
TATASTEEL,2025-12-26,2025-12-29,NEUTRAL,80.0,85.0,2.222,1.646,0.231,2.07,1.349,0,2.91,166.08,170.61,165.87,168.82,V4_PERMISSIVE_5M_SCORE,METAL
ONGC,2025-12-30,2025-12-31,NEUTRAL,80.0,80.0,1.944,2.424,0.004,2.33,1.517,0,3.52,229.29,235.46,229.22,234.85,V4_PERMISSIVE_5M_SCORE,ENERGY
HINDUNILVR,2025-12-30,2025-12-31,NEUTRAL,80.0,80.0,1.328,1.131,-0.009,1.49,0.967,0,31.5,2266.94,2302.08,2263.77,2292.58,V4_PERMISSIVE_5M_SCORE,FMCG
DABUR,2025-12-30,2025-12-31,NEUTRAL,80.0,85.0,2.273,1.737,-0.131,2.75,1.79,0,7.12,488.66,503.37,488.56,497.15,V4_PERMISSIVE_5M_SCORE,FMCG
DIXON,2025-12-30,2025-12-31,NEUTRAL,80.0,80.0,1.323,2.075,0.756,1.07,0.698,0,475.78,11856.0,12239.0,11755.0,12102.0,V4_PERMISSIVE_5M_SCORE,TECH
ONGC,2026-01-05,2026-01-06,BULL,80.0,80.0,1.329,1.596,0.0,1.3,0.847,0,4.27,232.62,236.79,232.62,236.33,V4_PERMISSIVE_5M_SCORE,ENERGY
TCS,2026-01-05,2026-01-06,BULL,80.0,80.0,1.416,1.427,-0.19,1.61,1.048,0,42.39,3093.55,3144.82,3088.73,3137.69,V4_PERMISSIVE_5M_SCORE,IT
HCLTECH,2026-01-05,2026-01-06,BULL,80.0,80.0,1.317,1.0,-0.454,1.19,0.771,0,27.85,1543.19,1567.97,1540.3,1558.62,V4_PERMISSIVE_5M_SCORE,IT
ABB,2026-01-05,2026-01-06,BULL,80.0,80.0,1.615,1.083,0.0,1.39,0.904,0,82.11,5147.45,5233.1,5139.48,5203.22,V4_PERMISSIVE_5M_SCORE,MFNG
INFY,2026-01-13,2026-01-14,BEAR,80.0,80.0,1.414,0.743,-0.688,1.37,0.891,0,27.62,1554.36,1582.75,1549.57,1565.91,V4_PERMISSIVE_5M_SCORE,IT
IDFCFIRSTB,2026-01-21,2026-01-22,BEAR,80.0,80.0,1.641,2.683,0.601,1.89,1.227,0,1.75,81.76,84.23,81.66,83.95,V4_PERMISSIVE_5M_SCORE,BANK
BRITANNIA,2026-01-21,2026-01-22,BEAR,80.0,80.0,1.335,1.402,0.819,1.59,1.03,0,105.13,5850.0,5975.0,5819.0,5932.0,V4_PERMISSIVE_5M_SCORE,FMCG
BPCL,2026-01-27,2026-01-28,BEAR,80.0,85.0,2.197,0.513,0.867,0.78,0.189,0,8.99,350.61,355.86,347.59,352.41,V4_PERMISSIVE_5M_SCORE,ENERGY
IOC,2026-01-27,2026-01-28,BEAR,80.0,80.0,1.693,2.421,0.063,1.91,1.242,0,3.45,157.02,161.96,156.57,160.82,V4_PERMISSIVE_5M_SCORE,ENERGY
POWERGRID,2026-01-27,2026-01-28,BEAR,80.0,80.0,1.304,2.283,-0.138,1.85,1.199,0,4.82,251.18,257.86,251.18,256.92,V4_PERMISSIVE_5M_SCORE,ENERGY
M&M,2026-01-27,2026-01-28,BEAR,80.0,80.0,1.836,2.078,-0.427,1.3,0.845,0,79.06,3343.88,3420.97,3340.92,3413.35,V4_PERMISSIVE_5M_SCORE,AUTO
ITC,2026-01-27,2026-01-28,BEAR,80.0,80.0,1.44,0.375,0.408,0.78,0.189,0,6.13,305.07,308.65,304.5,306.22,V4_PERMISSIVE_5M_SCORE,FMCG
HAL,2026-01-27,2026-01-28,BEAR,80.0,85.0,2.162,5.812,0.494,3.66,1.875,0,97.11,4333.99,4600.38,4325.56,4585.9,V4_PERMISSIVE_5M_SCORE,INFRA
M&M,2026-01-29,2026-01-30,NEUTRAL,80.0,80.0,1.898,4.532,-2.996,2.64,1.716,0,84.69,3248.88,3416.52,3248.68,3396.14,V4_PERMISSIVE_5M_SCORE,AUTO
ITC,2026-01-29,2026-01-30,NEUTRAL,80.0,85.0,2.062,1.051,0.063,1.37,0.888,0,5.91,303.97,310.03,301.73,307.17,V4_PERMISSIVE_5M_SCORE,FMCG
HINDUNILVR,2026-01-29,2026-01-30,NEUTRAL,80.0,80.0,1.513,1.367,-0.493,1.27,0.824,0,45.81,2317.43,2360.99,2316.44,2349.11,V4_PERMISSIVE_5M_SCORE,FMCG
NESTLEIND,2026-01-29,2026-01-30,NEUTRAL,80.0,85.0,5.53,3.608,-0.148,3.0,1.949,0,23.59,1272.97,1326.03,1270.01,1318.9,V4_PERMISSIVE_5M_SCORE,FMCG
TITAN,2026-01-29,2026-01-30,NEUTRAL,80.0,80.0,1.844,0.821,0.135,0.86,0.231,0,77.15,3932.1,3981.93,3897.01,3964.39,V4_PERMISSIVE_5M_SCORE,CONS
TRENT,2026-02-04,2026-02-05,BULL,80.0,85.0,3.736,3.974,-0.977,1.44,0.933,1,104.47,2645.02,2757.53,2571.53,2750.14,V4_PERMISSIVE_5M_SCORE,CONS
KAYNES,2026-02-06,2026-02-09,BULL,80.0,80.0,1.575,4.746,1.749,1.35,0.881,0,201.06,3765.0,3969.3,3757.8,3943.7,V4_PERMISSIVE_5M_SCORE,TECH
INFY,2026-02-12,2026-02-13,BULL,80.0,85.0,3.547,5.812,-6.645,2.5,1.625,0,43.54,1266.49,1348.13,1254.36,1340.1,V4_PERMISSIVE_5M_SCORE,IT
TCS,2026-02-12,2026-02-13,BULL,80.0,85.0,2.28,4.147,-6.003,2.1,1.368,0,79.59,2536.51,2662.11,2536.51,2641.7,V4_PERMISSIVE_5M_SCORE,IT
HCLTECH,2026-02-12,2026-02-13,BULL,80.0,85.0,2.04,2.263,-3.597,1.69,1.098,1,41.25,1382.16,1434.41,1355.93,1413.43,V4_PERMISSIVE_5M_SCORE,IT
WIPRO,2026-02-12,2026-02-13,BULL,80.0,80.0,1.409,1.633,-3.848,1.17,0.763,0,6.62,210.65,216.48,209.01,214.09,V4_PERMISSIVE_5M_SCORE,IT
TECHM,2026-02-12,2026-02-13,BULL,80.0,85.0,3.033,3.494,-3.514,1.79,1.166,0,47.37,1445.05,1508.79,1427.31,1495.54,V4_PERMISSIVE_5M_SCORE,IT
PERSISTENT,2026-02-12,2026-02-13,BULL,80.0,85.0,2.506,5.163,-4.439,2.14,1.392,0,205.47,5210.0,5540.0,5210.0,5479.0,V4_PERMISSIVE_5M_SCORE,IT
MPHASIS,2026-02-12,2026-02-13,BULL,80.0,85.0,2.734,2.965,-3.101,1.72,1.119,0,85.66,2325.26,2435.89,2293.71,2394.21,V4_PERMISSIVE_5M_SCORE,IT
INFY,2026-02-16,2026-02-17,NEUTRAL,80.0,80.0,1.461,1.547,0.322,1.7,1.102,0,46.96,1340.98,1400.69,1338.05,1361.73,V4_PERMISSIVE_5M_SCORE,IT
WIPRO,2026-02-16,2026-02-17,NEUTRAL,80.0,80.0,1.425,1.139,0.0,1.19,0.774,0,6.86,213.26,219.39,212.26,215.69,V4_PERMISSIVE_5M_SCORE,IT
BPCL,2026-02-20,2026-02-23,NEUTRAL,80.0,80.0,1.856,0.568,1.01,0.97,0.284,0,9.22,370.0,376.7,366.65,372.1,V4_PERMISSIVE_5M_SCORE,ENERGY
ICICIBANK,2026-02-24,2026-02-25,BEAR,80.0,80.0,1.41,0.625,0.505,0.94,0.271,0,22.08,1391.8,1407.4,1388.2,1400.5,V4_PERMISSIVE_5M_SCORE,BANK
HCLTECH,2026-02-24,2026-02-25,BEAR,80.0,80.0,1.417,1.712,1.18,1.04,0.678,0,45.19,1316.11,1351.46,1315.14,1338.64,V4_PERMISSIVE_5M_SCORE,IT
MARUTI,2026-02-24,2026-02-25,BEAR,80.0,80.0,1.35,1.413,-0.442,1.18,0.77,0,307.18,14860.0,15133.0,14837.0,15070.0,V4_PERMISSIVE_5M_SCORE,AUTO
HEROMOTOCO,2026-02-24,2026-02-25,BEAR,80.0,85.0,2.254,4.11,0.0,3.11,1.875,0,141.03,5511.0,5840.0,5500.5,5737.5,V4_PERMISSIVE_5M_SCORE,AUTO
TRENT,2026-02-26,2026-02-27,NEUTRAL,80.0,80.0,1.647,1.128,-0.0,0.81,0.206,0,80.84,2566.87,2616.13,2556.22,2595.83,V4_PERMISSIVE_5M_SCORE,CONS
DIXON,2026-02-26,2026-02-27,NEUTRAL,80.0,85.0,2.636,4.176,-0.099,1.7,1.103,0,403.82,10106.0,10620.0,10085.0,10528.0,V4_PERMISSIVE_5M_SCORE,TECH
RELIANCE,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.834,2.683,0.602,1.99,1.293,0,30.62,1346.87,1392.56,1346.87,1383.01,V4_PERMISSIVE_5M_SCORE,ENERGY
BPCL,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.526,1.037,0.07,0.75,-1.0,1,10.46,356.65,362.5,351.1,360.35,V4_PERMISSIVE_5M_SCORE,ENERGY
IOC,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.702,0.316,0.329,1.21,0.79,0,4.79,168.87,173.24,167.17,169.4,V4_PERMISSIVE_5M_SCORE,ENERGY
ADANIPORTS,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.57,3.6,0.892,1.73,1.122,0,44.84,1441.13,1499.18,1441.13,1493.01,V4_PERMISSIVE_5M_SCORE,INFRA
HINDALCO,2026-03-04,2026-03-05,BEAR,80.0,85.0,3.285,2.683,0.89,2.49,1.616,0,28.54,925.17,978.4,921.59,949.99,V4_PERMISSIVE_5M_SCORE,METAL
DLF,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.928,2.397,0.422,1.29,0.84,0,18.24,564.36,582.04,564.36,577.89,V4_PERMISSIVE_5M_SCORE,REALTY
HAL,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.314,0.563,-0.175,0.88,0.24,0,119.65,3870.0,3949.0,3840.9,3891.8,V4_PERMISSIVE_5M_SCORE,INFRA
LT,2026-03-04,2026-03-05,BEAR,80.0,80.0,1.479,2.918,1.071,1.76,1.143,0,111.65,3886.24,4033.5,3871.09,3999.63,V4_PERMISSIVE_5M_SCORE,INFRA
RELIANCE,2026-03-06,2026-03-09,BEAR,100.0,85.0,1.468,3.564,-2.121,2.23,1.446,0,32.44,1368.67,1422.82,1363.69,1417.45,V4_PERMISSIVE_5M_SCORE,ENERGY
NESTLEIND,2026-03-06,2026-03-09,BEAR,100.0,85.0,1.479,0.717,-2.028,0.76,0.182,0,27.07,1221.13,1236.66,1211.58,1229.89,V4_PERMISSIVE_5M_SCORE,FMCG
BAJFINANCE,2026-03-06,2026-03-09,BEAR,80.0,80.0,1.334,1.763,-2.989,1.09,0.707,1,23.5,916.17,935.35,903.5,932.32,V4_PERMISSIVE_5M_SCORE,FINSERV
IOC,2026-03-06,2026-03-09,BEAR,80.0,80.0,1.826,2.038,-6.332,1.12,0.728,0,4.88,156.03,160.13,154.35,159.21,V4_PERMISSIVE_5M_SCORE,ENERGY
ADANIPORTS,2026-03-06,2026-03-09,BEAR,80.0,85.0,2.022,1.16,-4.907,0.91,0.254,0,45.45,1399.1,1430.07,1399.1,1415.34,V4_PERMISSIVE_5M_SCORE,INFRA
GODREJPROP,2026-03-06,2026-03-09,BEAR,80.0,80.0,1.765,2.179,-3.407,0.82,0.211,0,67.56,1602.75,1644.45,1582.85,1637.68,V4_PERMISSIVE_5M_SCORE,REALTY
BRITANNIA,2026-03-12,2026-03-13,BEAR,80.0,85.0,2.135,1.017,-0.639,1.38,0.9,0,126.19,5750.0,5881.0,5727.0,5808.5,V4_PERMISSIVE_5M_SCORE,FMCG
FEDERALBNK,2026-03-16,2026-03-17,BEAR,80.0,80.0,1.26,0.233,-0.06,0.88,0.238,0,29.71,2129.52,2149.03,2129.52,2134.47,V4_PERMISSIVE_5M_SCORE,BANK
MARUTI,2026-03-16,2026-03-17,BEAR,80.0,80.0,1.82,1.423,0.259,0.98,0.291,0,420.9,12790.0,13100.0,12686.0,12972.0,V4_PERMISSIVE_5M_SCORE,AUTO
HCLTECH,2026-03-20,2026-03-23,NEUTRAL,80.0,85.0,2.006,3.331,-1.417,1.68,1.089,0,38.79,1277.06,1325.82,1272.4,1319.61,V4_PERMISSIVE_5M_SCORE,IT
TECHM,2026-03-20,2026-03-23,NEUTRAL,80.0,80.0,1.91,1.318,-1.358,1.46,0.947,0,43.33,1331.4,1378.77,1323.21,1348.94,V4_PERMISSIVE_5M_SCORE,IT
PERSISTENT,2026-03-20,2026-03-23,NEUTRAL,80.0,80.0,1.782,0.761,-0.592,0.74,0.168,0,201.94,4688.8,4800.4,4639.3,4724.5,V4_PERMISSIVE_5M_SCORE,IT
AXISBANK,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.255,1.842,0.612,1.52,0.986,0,34.26,1199.08,1238.05,1197.08,1221.16,V4_PERMISSIVE_5M_SCORE,BANK
KOTAKBANK,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.957,0.583,0.572,1.27,0.824,1,9.5,368.31,377.35,362.37,370.46,V4_PERMISSIVE_5M_SCORE,BANK
BAJFINANCE,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.292,2.401,1.537,1.17,0.761,0,30.28,856.78,883.37,848.09,877.36,V4_PERMISSIVE_5M_SCORE,FINSERV
HCLTECH,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.364,2.47,-1.842,2.08,1.353,0,39.45,1309.31,1370.89,1309.31,1341.65,V4_PERMISSIVE_5M_SCORE,IT
BHARTIARTL,2026-03-24,2026-03-25,BEAR,80.0,80.0,1.409,1.152,0.66,1.09,0.708,0,43.06,1814.0,1849.2,1810.1,1834.9,V4_PERMISSIVE_5M_SCORE,TELECOM
TATAMOTORS,2026-03-26,2026-03-27,BEAR,100.0,90.0,5.951,0.376,-1.355,0.69,-1.0,1,21.04,421.24,432.12,402.56,422.83,V4_PERMISSIVE_5M_SCORE,AUTO
PERSISTENT,2026-03-26,2026-03-27,BEAR,80.0,80.0,1.267,0.406,-0.99,0.74,0.168,0,194.31,4880.0,4987.4,4851.1,4899.8,V4_PERMISSIVE_5M_SCORE,IT
TCS,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.278,2.712,-0.922,1.69,1.098,0,65.0,2341.24,2423.57,2331.14,2404.73,V4_PERMISSIVE_5M_SCORE,IT
SUNPHARMA,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.435,1.718,-3.674,1.2,0.779,1,38.82,1660.65,1695.56,1615.77,1689.17,V4_PERMISSIVE_5M_SCORE,PHARMA
DRREDDY,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.826,2.509,-1.827,1.3,0.845,1,35.77,1180.02,1214.9,1160.14,1209.63,V4_PERMISSIVE_5M_SCORE,PHARMA
DLF,2026-04-01,2026-04-02,NEUTRAL,80.0,80.0,1.445,4.242,-1.717,1.59,1.033,1,19.44,494.79,517.95,483.33,515.77,V4_PERMISSIVE_5M_SCORE,REALTY
TRENT,2026-04-03,2026-04-06,BEAR,100.0,90.0,4.43,5.466,2.374,2.23,1.45,0,93.33,2419.69,2575.86,2419.69,2551.96,V4_PERMISSIVE_5M_SCORE,CONS
KAYNES,2026-04-03,2026-04-06,BEAR,100.0,85.0,1.448,4.47,0.28,1.3,0.845,0,180.5,3547.9,3723.9,3460.0,3706.5,V4_PERMISSIVE_5M_SCORE,TECH
GODREJPROP,2026-04-03,2026-04-06,BEAR,80.0,80.0,1.916,4.463,0.577,1.52,0.99,0,65.33,1509.7,1584.34,1486.61,1577.08,V4_PERMISSIVE_5M_SCORE,REALTY
HEROMOTOCO,2026-04-09,2026-04-10,BULL,80.0,80.0,1.467,3.2,0.246,1.37,0.888,0,183.03,5297.0,5484.5,5295.5,5466.5,V4_PERMISSIVE_5M_SCORE,AUTO
KOTAKBANK,2026-05-05,2026-05-06,NEUTRAL,100.0,85.0,1.704,0.695,0.714,0.85,-1.0,1,9.36,373.36,379.35,365.02,375.95,V4_PERMISSIVE_5M_SCORE,BANK
ICICIGI,2026-05-05,2026-05-06,NEUTRAL,100.0,90.0,2.222,1.395,0.456,1.15,0.749,0,43.34,1778.25,1815.71,1768.49,1803.05,V4_PERMISSIVE_5M_SCORE,FINSERV
ICICIBANK,2026-05-05,2026-05-06,NEUTRAL,80.0,80.0,1.543,1.387,0.855,1.02,0.663,0,27.19,1262.0,1282.8,1252.1,1279.5,V4_PERMISSIVE_5M_SCORE,BANK
SBIN,2026-05-05,2026-05-06,NEUTRAL,80.0,80.0,1.296,2.239,1.142,1.6,1.038,0,23.86,1053.02,1081.6,1042.41,1076.59,V4_PERMISSIVE_5M_SCORE,BANK
TITAN,2026-05-07,2026-05-08,BULL,80.0,85.0,5.828,4.52,0.151,3.95,2.57,1,97.82,4299.89,4589.94,4199.62,4494.25,V4_PERMISSIVE_5M_SCORE,CONS
BHARTIARTL,2026-05-11,2026-05-12,BEAR,80.0,80.0,1.37,0.303,-0.472,0.82,0.212,0,40.47,1751.5,1776.5,1751.5,1756.8,V4_PERMISSIVE_5M_SCORE,TELECOM
DLF,2026-05-13,2026-05-14,BEAR,100.0,85.0,1.966,1.949,-0.357,1.3,0.847,1,16.51,565.01,581.15,546.93,576.02,V4_PERMISSIVE_5M_SCORE,REALTY
BHARTIARTL,2026-05-13,2026-05-14,BEAR,100.0,90.0,2.347,3.489,1.721,2.27,1.475,1,40.66,1820.0,1889.2,1797.3,1883.5,V4_PERMISSIVE_5M_SCORE,TELECOM
HDFCBANK,2026-05-13,2026-05-14,BEAR,80.0,80.0,1.459,2.47,0.187,2.06,1.341,0,17.36,738.78,765.64,734.85,757.03,V4_PERMISSIVE_5M_SCORE,BANK
TECHM,2026-05-15,2026-05-18,BEAR,80.0,85.0,3.411,4.862,-0.496,2.44,1.584,0,39.46,1329.16,1401.28,1329.16,1393.78,V4_PERMISSIVE_5M_SCORE,IT
IOC,2026-05-19,2026-05-20,NEUTRAL,80.0,80.0,1.445,2.502,-0.244,1.29,0.839,0,3.98,134.67,138.52,133.0,138.04,V4_PERMISSIVE_5M_SCORE,ENERGY
EICHERMOT,2026-05-21,2026-05-22,NEUTRAL,80.0,80.0,1.268,0.816,0.479,0.88,0.238,0,176.54,6925.0,7041.0,6908.5,6981.5,V4_PERMISSIVE_5M_SCORE,AUTO
COALINDIA,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.73,3.516,-0.295,2.1,1.367,0,12.96,456.55,477.0,456.55,472.6,V4_PERMISSIVE_5M_SCORE,ENERGY
TCS,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.548,0.587,1.111,1.33,0.867,0,50.68,2271.55,2322.27,2267.57,2284.87,V4_PERMISSIVE_5M_SCORE,IT
HCLTECH,2026-05-29,2026-06-01,NEUTRAL,80.0,80.0,1.982,0.42,0.532,1.18,0.766,0,25.43,1178.07,1200.54,1178.07,1183.02,V4_PERMISSIVE_5M_SCORE,IT
DIVISLAB,2026-06-02,2026-06-03,BEAR,80.0,80.0,1.444,0.867,-0.199,0.77,0.183,0,146.94,6520.0,6604.5,6460.0,6576.5,V4_PERMISSIVE_5M_SCORE,PHARMA
MARUTI,2026-06-02,2026-06-03,BEAR,80.0,80.0,1.687,0.231,-0.061,0.86,0.229,0,298.32,13014.0,13206.0,12911.0,13044.0,V4_PERMISSIVE_5M_SCORE,AUTO
CHOLAFIN,2026-06-04,2026-06-05,BEAR,100.0,85.0,1.986,1.123,0.034,1.75,1.137,0,47.6,1485.92,1548.39,1479.52,1502.61,V4_PERMISSIVE_5M_SCORE,FINSERV
SBIN,2026-06-08,2026-06-09,BEAR,100.0,85.0,1.434,1.797,0.311,1.45,0.942,0,22.09,985.0,1009.0,983.0,1002.7,V4_PERMISSIVE_5M_SCORE,BANK
